id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range
giggle-fund,giggle,Giggle Fund,https://coin-images.coingecko.com/coins/images/69414/large/giggle-fund.jpg?1758541887,36.95,37024604,599,37024604.0,87928682,40.88,32.25,4.66,14.4338,4748290.0,14.71138,1000000.0,1000000.0,1000000.0,274.54,-86.47963,2025-10-25T04:05:48.420Z,8.64,329.50709,2025-09-25T16:01:24.440Z,,2026-05-05T02:17:07.252Z,63.6875364819412,1.5367418668529451,breakout,False,low,False,0.71833,,13.71547,,True,False,False,2.374871639410377,50m_range,False,False,"{'short_term': {'has_spike': True, 'momentum_initial': 'low', 'volume_mc_ratio': 1.4130588329974436, 'is_candidate': True}, 'medium_term': {'persistence_days': 1, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 7.142857142857142, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_INITIAL'}",CANDIDATE_INITIAL,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.1, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""giggle"", ""daily_videos"": [0, 2, 2, 1, 0, 2, 0], ""today_videos"": 0, ""avg_7d_videos"": 1.1666666666666667, ""avg_views_per_video"": 2427.8571428571427, ""avg_likes_per_video"": 71.28571428571429, ""avg_comments_per_video"": 5.571428571428571, ""total_engagement"": 76.85714285714286, ""total_videos_found"": 7, ""videos_with_stats"": 7, ""data_source"": ""real""}, ""telegram_data"": {""symbol"": ""Giggle Fund"", ""mentions_today"": 27, ""mentions_7d_avg"": 54.285714285714285, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""real"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": false}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range
neiro-3,neiro,Neiro,https://coin-images.coingecko.com/coins/images/39488/large/neiro.jpg?1731449567,9.585e-05,40333070,566,40333070.0,32636578,9.873e-05,9.07e-05,-1.657762550839e-06,-1.70011,-542957.4423239529,-1.3283,420690000000.0,420690000000.0,420690000000.0,0.00301761,-96.81938,2024-11-12T08:05:49.038Z,2.44e-06,3836.10384,2024-08-01T07:00:23.692Z,,2026-05-05T02:17:05.175Z,74.76238768564413,7.9479112452057255,strong,False,low,False,0.71833,,-2.41844,,True,False,False,0.8091766384259864,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.8049763214349402, 'is_candidate': True}, 'medium_term': {'persistence_days': 3, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': True}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 21.428571428571427, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_STRONG'}",CANDIDATE_STRONG,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.1, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""neiro"", ""daily_videos"": [0, 0, 4, 1, 0, 0, 1], ""today_videos"": 0, ""avg_7d_videos"": 1.0, ""avg_views_per_video"": 16.125, ""avg_likes_per_video"": 2.25, ""avg_comments_per_video"": 2.375, ""total_engagement"": 4.625, ""total_videos_found"": 8, ""videos_with_stats"": 8, ""data_source"": ""real""}, ""telegram_data"": {""symbol"": ""Neiro"", ""mentions_today"": 78, ""mentions_7d_avg"": 39.857142857142854, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""real"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": false}",Meme,0.525,moderate,0.1255,False,Possível acumulação: slope=0.1255,50m_range
notcoin,not,Notcoin,https://coin-images.coingecko.com/coins/images/33453/large/rFmThDiD_400x400.jpg?1701876350,0.00050333,49570913,492,51078194.0,38564888,0.00050609,0.00040563,9.28e-05,22.60638,8640555.0,21.11038,99429447866.9074,102452755868.5205,102456956842.91,0.02836145,-98.22309,2024-06-02T18:00:38.587Z,0.00032676,54.23079,2026-02-28T13:45:06.069Z,,2026-05-05T02:17:04.553Z,41.302571666079295,24.203249667681664,strong,False,low,False,0.71833,,21.88805,,True,False,False,0.7779741317251914,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.34340365081552426, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.384,weak,0.0265,False,Sinal fraco: slope=0.0265,50m_range
zerebro,zerebro,Zerebro,https://coin-images.coingecko.com/coins/images/51289/large/zerebro_2.png?1730588883,0.0355869,35191550,625,35191550.0,21417758,0.03573114,0.02562452,0.00934424,35.60704,8951391.0,34.11332,999950097.891352,999950097.891352,1000000000.0,0.784071,-95.49344,2025-01-02T07:41:04.150Z,0.00580864,508.31095,2024-11-03T08:34:49.111Z,,2026-05-05T02:17:05.952Z,405.2898219439661,104.11222658398506,strong,False,low,False,0.71833,,34.888709999999996,,True,False,False,0.608605133902883,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),50m_range
book-of-meme,bome,BOOK OF MEME,https://coin-images.coingecko.com/coins/images/36071/large/bome.png?1710407255,0.00055118,38016975,588,38016975.0,15656760,0.00055819,0.00053217,2.83e-06,0.51675,185945.0,0.49151,68999659569.0,68999659569.0,68999659569.0,0.02688878,-97.9453,2024-03-16T13:51:17.648Z,5.848e-05,844.69677,2024-03-14T10:17:29.365Z,,2026-05-05T02:17:09.737Z,44.992610319710124,7.39919561764286,early_accumulation,False,low,False,0.71833,,-0.20157999999999998,,True,False,False,0.4118360285109481,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.42720603730688667, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.309,weak,0.014,False,Sinal fraco: slope=0.0140,50m_range
renzo,rez,Renzo,https://coin-images.coingecko.com/coins/images/37327/large/renzo_200x200.png?1714025012,0.00566297,47851397,502,55581309.0,19147545,0.0056735,0.00508735,0.00038025,7.1979,3258908.0,7.3082,8449670066.351069,9814629224.12962,10000000000.0,0.278213,-97.96066,2024-04-30T11:50:54.665Z,0.00265163,113.9715,2026-02-28T10:11:14.983Z,,2026-05-05T02:17:04.836Z,66.18900759722789,41.73526129502101,early_accumulation,False,low,False,0.71833,,6.47957,,True,False,False,0.40014599782739885,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.7699133099362332, 'is_candidate': True}, 'medium_term': {'persistence_days': 2, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 14.285714285714285, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_INITIAL'}",CANDIDATE_INITIAL,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",DeFi,0.525,moderate,0.1985,False,Possível acumulação: slope=0.1985,50m_range
troll-2,troll,TROLL,https://coin-images.coingecko.com/coins/images/55282/large/Untitled_design.png?1777015928,0.04272762,42824478,531,42824478.0,16795682,0.056021,0.04041735,-0.000897814787511407,-2.05801,-1978351.7133510113,-4.41568,998881489.460005,998881489.460005,1000000000.0,0.282604,-84.61838,2025-08-22T21:48:29.985Z,0.00387003,1023.22154,2025-04-22T03:50:51.686Z,,2026-05-05T02:17:06.486Z,270.9261056442915,139.5326098339635,early_accumulation,False,low,False,0.71833,,-2.77634,,True,False,False,0.3921981722696071,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.6725141032494869, 'is_candidate': False}, 'medium_term': {'persistence_days': 2, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 14.285714285714285, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range
hive,hive,Hive,https://coin-images.coingecko.com/coins/images/10840/large/logo_transparent_4x.png?1696510797,0.067554,35384584,621,,13432746,0.067469,0.059207,0.0073562,12.21996,2798165.0,8.58691,541643441.553,,,3.41,-98.09527,2021-11-26T01:46:11.175Z,0.055374,17.21943,2026-03-31T10:00:47.615Z,,2026-05-05T02:17:03.178Z,14.728282505169627,10.70549462131583,early_accumulation,False,low,False,0.71833,,11.50163,,True,False,False,0.3796214193163893,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),50m_range
merlin-chain,merl,Merlin Chain,https://coin-images.coingecko.com/coins/images/37118/large/merlin.jpeg?1713352230,0.03898523,48209002,501,81865597.0,16036451,0.04151503,0.03841511,-0.000651378862409804,-1.64338,-851211.446699284,-1.73503,1236647716.0,2100000000.0,2100000000.0,1.45,-97.31521,2024-04-19T11:41:13.943Z,0.02130297,82.74344,2026-04-03T19:50:42.218Z,,2026-05-05T02:17:04.982Z,65.53489488489747,1.1850962492268875,early_accumulation,False,low,False,0.71833,,-2.36171,,True,False,False,0.33264432646832226,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.3981613949857171, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range
edu-coin,edu,Open Campus,https://coin-images.coingecko.com/coins/images/29948/large/EDU_Logo.png?1696528874,0.04695822,35591887,622,46992667.0,10735281,0.04741025,0.04572573,3.53e-05,0.07523,74220.0,0.20897,757392361.0,1000000000.0,,1.67,-97.2159,2023-04-29T08:05:57.583Z,0.04149096,12.35309,2026-04-19T10:25:16.201Z,,2026-05-05T02:17:04.104Z,-0.9531170272475308,3.6810607241915574,early_accumulation,False,low,False,0.71833,,-0.6431,,True,False,False,0.30162157460209965,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.3096143870404838, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0336,False,Ratio em queda — sem acumulação,50m_range
