id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
act-i-the-ai-prophecy,act,Act I The AI Prophecy,https://coin-images.coingecko.com/coins/images/50984/large/ai_prophecy.jpg?1729653897,0.01575495,14960778,1027,14960778,17394391,0.01659185,0.01559691,3.951e-05,0.25143,123419.0,0.83181,948240776.527631,948240776.527631,1000000000.0,0.919768,-98.2871,2024-11-14T08:35:39.083Z,0.00709075,122.18739,2025-10-10T21:25:23.179Z,,2026-05-08T15:02:04.415Z,29.355118506418833,11.426775982598176,breakout,False,low,False,-0.07878,,0.33021,,True,False,True,1.1626662062628026,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.678,strong,0.1508,True,"Acumulação silenciosa: slope=0.1508, consistência=67%",10m_range,1.5,0,0.9,1,0,0,0,20260504,0,0,False,False,NOT_APPLICABLE,False
dogs-2,dogs,Dogs,https://coin-images.coingecko.com/coins/images/39699/large/dogs_logo_200x200.png?1723687163,8.011e-05,41411070,571,44075642,131752738,9.1e-05,7.848e-05,-5.38323707589e-07,-0.66752,-61881.55065512657,-0.14921,516750000000.0,550000000000.0,550000000000.0,0.00163299,-95.10186,2024-08-28T10:10:46.492Z,2.375e-05,236.7784,2026-02-28T12:15:13.471Z,,2026-05-08T14:59:44.215Z,181.74586923520036,151.29743840369576,breakout,True,low,False,-0.07878,,-0.58874,,True,False,False,3.1815825575142105,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.65,strong,2.964,True,"Acumulação silenciosa: slope=2.9640, consistência=100%",50m_range,1.2,0,0.72,1,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
og-fan-token,og,OG Fan Token,https://coin-images.coingecko.com/coins/images/11663/large/OG_400px_%282%29.png?1769068991,3.22,15062911,1024,16114229,13624149,3.44,3.06,0.117564,3.78883,564328.0,3.8923,4673792.0,5000000.0,5000000.0,24.78,-86.99888,2025-09-10T22:17:25.303Z,1.18,172.61103,2022-05-12T06:17:01.402Z,,2026-05-08T15:02:01.469Z,24.083252548442523,9.113422953571156,strong,False,low,False,-0.07878,,3.86761,,True,True,True,0.9044831374227731,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10m_range,1.2,0,0.72,2,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,True
giggle-fund,giggle,Giggle Fund,https://coin-images.coingecko.com/coins/images/69414/large/giggle-fund.jpg?1758541887,37.13,37129346,611,37129346,25275601,38.35,35.02,1.7,4.80583,1726187.0,4.8758,1000000.0,1000000.0,1000000.0,274.54,-86.40501,2025-10-25T04:05:48.420Z,8.64,331.87768,2025-09-25T16:01:24.440Z,,2026-05-08T14:59:49.398Z,26.603821397905854,23.450942154870155,strong,False,low,False,-0.07878,,4.88461,,True,True,True,0.6807445786952455,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.6064,False,Ratio em queda — sem acumulação,50m_range,0.9,0,0.54,2,0,0,0,20260504,0,0,False,False,NOT_APPLICABLE,True
neiro-3,neiro,Neiro,https://coin-images.coingecko.com/coins/images/39488/large/neiro.jpg?1731449567,0.00010027,42210701,561,42210701,27677174,0.00010082,9.464e-05,4.28e-06,4.46308,1759507.0,4.3497,420690000000.0,420690000000.0,420690000000.0,0.00301761,-96.66466,2024-11-12T08:05:49.038Z,2.44e-06,4027.57656,2024-08-01T07:00:23.692Z,,2026-05-08T14:59:44.192Z,69.53528986611475,10.530459230062956,strong,False,low,False,-0.07878,,4.54186,,True,True,True,0.6556909348650714,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.8,very_strong,0.0862,True,"Acumulação silenciosa FORTE: slope=0.0862, consistência=60%, aceleração=53%",50m_range,0.9,0,0.54,3,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,True
edu-coin,edu,Open Campus,https://coin-images.coingecko.com/coins/images/29948/large/EDU_Logo.png?1696528874,0.050529,38324257,599,50600268,23552633,0.052372,0.04788846,0.0024487,5.09297,1908881.0,5.24197,757392361.0,1000000000.0,,1.67,-96.97613,2023-04-29T08:05:57.583Z,0.04149096,22.02923,2026-04-19T10:25:16.201Z,,2026-05-08T14:59:43.065Z,2.312990262966526,3.7371653652045644,strong,False,low,False,-0.07878,,5.17175,,True,True,True,0.6145620252990163,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.512,moderate,0.0271,False,Possível acumulação: slope=0.0271,50m_range,0.9,0,0.54,4,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,True
vine,vine,Vine,https://coin-images.coingecko.com/coins/images/53859/large/vine.jpg?1737613523,0.01767081,17671108,965,17671108,10160396,0.01819512,0.01676317,0.00048211,2.80478,543253.0,3.17175,999969604.939676,999969604.939676,1000000000.0,0.469941,-96.23977,2025-01-26T10:00:27.525Z,0.01447873,22.04705,2026-04-28T10:55:44.220Z,,2026-05-08T15:02:04.677Z,2.6535443311155142,16.485499769827403,strong,False,low,False,-0.07878,,2.88356,,True,True,True,0.5749722088733769,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.85,very_strong,0.0749,True,"Acumulação silenciosa FORTE: slope=0.0749, consistência=80%, aceleração=57%",10m_range,0.7,0,0.42,3,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,True
czs-dog,broccoli,CZ's Dog,https://coin-images.coingecko.com/coins/images/54400/large/broccoli.jpg?1739504145,0.01784587,17274581,977,17274581,11575822,0.01851739,0.01753702,0.00014035,0.79271,87710.0,0.51033,968133628.7294303,968133628.7294303,1000000000.0,0.257985,-93.08259,2025-02-14T10:31:04.883Z,0.0105676,68.87337,2025-10-10T21:25:13.973Z,,2026-05-08T15:02:04.660Z,40.72882392956984,-0.6300149681073827,strong,False,low,False,-0.07878,,0.87149,,True,False,True,0.6701072518054129,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.738,strong,0.0397,True,"Acumulação silenciosa: slope=0.0397, consistência=60%",10m_range,0.5,0,0.3,4,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
mubarak,mubarak,Mubarak,https://coin-images.coingecko.com/coins/images/54857/large/DKjv3dc6_400x400.jpg?1742107486,0.0158413,15873494,1009,15873494,10527599,0.01674056,0.01551633,0.00017979,1.14797,212598.0,1.35751,1000000000.0,1000000000.0,1000000000.0,0.211228,-92.50039,2025-03-18T05:06:59.770Z,0.01000671,58.30671,2025-10-10T21:27:11.195Z,,2026-05-08T15:02:04.976Z,29.554499571227783,16.13223481227122,strong,False,low,False,-0.07878,,1.22675,,True,False,True,0.6632187595245256,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,-0.2733,False,Ratio em queda — sem acumulação,10m_range,0.5,0,0.3,5,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,False
book-of-meme,bome,BOOK OF MEME,https://coin-images.coingecko.com/coins/images/36071/large/bome.png?1710407255,0.00062069,42919199,549,42919199,18766636,0.00062647,0.00058415,2.779e-05,4.68681,2010379.0,4.91429,68999659569.0,68999659569.0,68999659569.0,0.02688878,-97.68486,2024-03-16T13:51:17.648Z,5.848e-05,964.44055,2024-03-14T10:17:29.365Z,,2026-05-08T15:00:00.974Z,55.27701275500991,18.196877913650457,early_accumulation,False,low,False,-0.07878,,4.76559,,True,True,True,0.43725503824057854,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.726,strong,0.046,True,"Acumulação silenciosa: slope=0.0460, consistência=40%",50m_range,0.4,0,0.24,5,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,True
