id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
osmosis,osmo,Osmosis,https://coin-images.coingecko.com/coins/images/16724/large/osmo.png?1696516298,0.105034,81917968,352,103860978.0,229931127,0.120068,0.03382708,0.071102,209.54333,55688187.0,212.309,773110579.157961,980200343.851583,1000000000.0,11.25,-99.06224,2022-03-04T05:12:18.707Z,0.02916342,261.71811,2026-03-29T22:55:20.160Z,,2026-05-11T11:42:22.952Z,237.99729262825892,231.9724697299884,breakout,False,low,False,0.4061,,209.13723,,True,False,False,2.806846075576484,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),50m_range,1.6,0,0.96,1,0,0,0,20260511,0,0,False,False,NOT_APPLICABLE,False
paris-saint-germain-fan-token,psg,Paris Saint-Germain Fan Token,https://coin-images.coingecko.com/coins/images/11620/large/PSG.png?1741772294,1.053,16243502,1022,20932367.0,40730425,1.3,0.957556,-0.034039994509488025,-3.13212,-207690.11319338158,-1.26246,15434626.0,19890000.0,19890000.0,58.79,-98.21544,2021-04-27T04:13:36.909Z,0.600374,74.74391,2026-02-06T00:30:21.119Z,,2026-05-11T11:44:42.797Z,15.720245172069019,39.5387841690647,breakout,False,low,False,0.4061,,-3.53822,,True,False,False,2.50749037984543,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,1.5,0,0.9,1,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
usd-coinvertible,usdcv,USD CoinVertible,https://coin-images.coingecko.com/coins/images/69726/large/usd-coinvertible.png?1759401966,0.999065,20149287,921,20149287.0,27718118,1.0,0.998693,-0.000246916467858793,-0.02471,-4408.187869645655,-0.02187,20167176.0,20167176.0,,1.13,-11.79488,2025-10-10T21:26:30.938Z,0.978779,2.07268,2025-10-10T21:17:49.442Z,,2026-05-11T11:43:30.206Z,-0.0437098657298995,-0.03655752158172598,breakout,False,low,False,0.4061,,-0.43081,,True,False,False,1.3756376590397468,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,1.5,0,0.9,2,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
og-fan-token,og,OG Fan Token,https://coin-images.coingecko.com/coins/images/11663/large/OG_400px_%282%29.png?1769068991,3.63,16966682,1001,18150874.0,22111001,3.95,3.58,0.02025419,0.56104,70501.0,0.41726,4673792.0,5000000.0,5000000.0,24.78,-85.36926,2025-09-10T22:17:25.303Z,1.18,206.78123,2022-05-12T06:17:01.402Z,,2026-05-11T11:43:42.661Z,40.92018085554427,19.922971829427564,breakout,False,low,False,0.4061,,0.15493999999999997,,True,False,False,1.3032012387572303,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.817,very_strong,0.1688,True,"Acumulação silenciosa FORTE: slope=0.1688, consistência=67%, aceleração=61%",10_49m_range,1.5,0,0.9,3,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
dogs-2,dogs,Dogs,https://coin-images.coingecko.com/coins/images/39699/large/dogs_logo_200x200.png?1723687163,6.219e-05,32137746,689,34205632.0,36906656,7.066e-05,6.221e-05,-7.362001176629e-06,-10.58457,-3811738.824053578,-10.60304,516750000000.0,550000000000.0,550000000000.0,0.00163299,-96.17826,2024-08-28T10:10:46.492Z,2.375e-05,162.76944,2026-02-28T12:15:13.471Z,,2026-05-11T11:43:32.393Z,113.68839198475416,88.19081161795309,breakout,False,low,False,0.4061,,-10.99067,,True,False,False,1.1483896848273056,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.675,strong,0.4806,True,"Acumulação silenciosa: slope=0.4806, consistência=50%",10_49m_range,1.5,0,0.9,4,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
civic,cvc,Civic,https://coin-images.coingecko.com/coins/images/788/large/civic-icon-black-padding.png?1750494984,0.03395747,27232139,781,33955286.0,28617936,0.03694529,0.03311859,0.00021702,0.64319,172322.0,0.63682,802000010.0,1000000000.0,,1.35,-97.48295,2018-01-03T00:00:00.000Z,0.01102541,207.90897,2020-03-13T02:15:34.328Z,"{'times': -0.6604253082996172, 'currency': 'usd', 'percentage': -66.04253082996172}",2026-05-11T11:43:27.395Z,12.978870579156427,10.180288364780548,breakout,False,low,False,0.4061,,0.23709000000000002,,True,False,False,1.0508882904864727,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,1.5,0,0.9,5,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
giggle-fund,giggle,Giggle Fund,https://coin-images.coingecko.com/coins/images/69414/large/giggle-fund.jpg?1758541887,38.06,37972538,617,37972538.0,35668904,41.03,35.95,1.87,5.16876,1759653.0,4.85919,1000000.0,1000000.0,1000000.0,274.54,-86.06039,2025-10-25T04:05:48.420Z,8.64,342.82524,2025-09-25T16:01:24.440Z,,2026-05-11T11:43:26.906Z,29.846978017817406,0.004339275327948609,strong,False,low,False,0.4061,,4.7626599999999994,,True,False,False,0.9393342104233328,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.3392,False,Ratio em queda — sem acumulação,10_49m_range,1.1,0,0.66,6,0,0,0,20260504,0,0,False,False,NOT_APPLICABLE,False
moviebloc,mbl,MovieBloc,https://coin-images.coingecko.com/coins/images/8460/large/MBL_Logo.png?1696508646,0.00100637,19502914,937,30190446.0,16459401,0.00116305,0.00095431,5.206e-05,5.45541,965235.0,5.20688,19379887214.0,30000000000.0,30000000000.0,0.0450322,-97.77164,2021-04-02T01:08:31.856Z,0.00042973,133.51278,2019-10-25T08:25:31.503Z,,2026-05-11T11:43:27.528Z,5.790154854040555,8.373035375844582,strong,False,low,False,0.4061,,5.049309999999999,,True,False,False,0.8439457303662417,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,1.1,0,0.66,7,0,0,0,20260507,0,0,False,False,NOT_APPLICABLE,False
ponke,ponke,PONKE,https://coin-images.coingecko.com/coins/images/33929/large/ponke-logo.png?1747200908,0.03998866,22197672,889,22200122.0,17186788,0.055305,0.03650057,0.00340141,9.2967,1867395.0,9.18529,555474270.4482491,555535580.1172216,555555555.0,0.836512,-95.23302,2024-11-19T04:12:44.219Z,0.00927982,329.71048,2024-01-03T19:05:58.444Z,,2026-05-11T11:43:44.445Z,42.572911748849876,45.47917295372731,strong,False,low,False,0.4061,,8.8906,,True,False,False,0.7742608323971991,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),10_49m_range,1.1,0,0.66,8,0,0,0,20260507,0,0,False,False,NOT_APPLICABLE,False
notcoin,not,Notcoin,https://coin-images.coingecko.com/coins/images/33453/large/rFmThDiD_400x400.jpg?1701876350,0.00058787,58430308,469,60206973.0,41348038,0.00062569,0.00057287,-1.8180458933849e-05,-2.99984,-1878269.5525040105,-3.11443,99429447866.9074,102452755868.5205,102456956842.91,0.02836145,-97.94296,2024-06-02T18:00:38.587Z,0.00032676,78.54495,2026-02-28T13:45:06.069Z,,2026-05-11T11:42:24.302Z,62.830519914363414,43.710970672558666,strong,False,low,False,0.4061,,-3.4059399999999997,,True,False,False,0.707647099857834,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.65,strong,0.2176,True,"Acumulação silenciosa: slope=0.2176, consistência=40%",50m_range,1.0,0,0.6,2,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
