id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,drawdown_pct,price_resilience,is_gold,suspected_wash_trading,momentum,rs_24h,rs_7d,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong,fdv_warning
ordinals,ordi,ORDI,https://coin-images.coingecko.com/coins/images/30162/large/ordi.png?1696529082,3.33,69894211,355,69894211,54282436,3.6,3.08,0.244374,7.92396,5109370.0,7.88668,21000000.0,21000000.0,,95.52,-96.51509,2024-03-05T01:45:22.816Z,2.12,56.94237,2026-03-29T22:55:07.807Z,,2026-06-20T12:02:13.148Z,-19.58944080559642,-1.6907796054597395,strong,0.9651,False,False,False,low,6.293200000000001,,False,False,0.7766370808592431,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",True,0.0550539512000025,True,Other,0.0,none,-0.0084,False,Ratio em queda — sem acumulação,50m_range,1.8,0,1.08,1,0,0,0,20260512,0,0,False,False,NOT_APPLICABLE,False,
biconomy,bico,Biconomy,https://coin-images.coingecko.com/coins/images/21061/large/biconomy_logo.jpg?1696520444,0.04325927,31040899,637,43229460,182949227,0.04513971,0.0234231,0.01935423,80.96297,13866231.0,80.73652,718049656.9789356,1000000000.0,1000000000.0,21.45,-99.79956,2021-12-02T02:18:45.254Z,0.01732508,148.12504,2026-06-06T04:45:48.988Z,,2026-06-20T12:22:42.460Z,67.37524062475444,129.53171472550616,breakout,0.998,False,False,False,low,79.07406,,False,False,5.893812128314969,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,True,Other,0.714,strong,0.0295,True,"Acumulação silenciosa: slope=0.0295, consistência=75%",10_49m_range,1.5,0,0.9,1,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False,True
epic-chain,epic,Epic Chain,https://coin-images.coingecko.com/coins/images/54734/large/PFP.png?1753421273,0.428529,14415607,977,14415607,39516905,0.510849,0.37299,-0.07538744334173081,-14.96031,-2514903.731975306,-14.85427,33600000.0,33600000.0,33600000.0,3.2,-86.59954,2025-08-20T15:57:23.043Z,0.192233,122.87619,2026-05-29T04:15:25.109Z,,2026-06-20T12:23:44.865Z,39.163540193133436,-24.373069737725867,breakout,0.8661,False,False,False,low,-16.84922,,False,False,2.7412584846409866,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,True,Other,0.0,none,-0.1879,False,Ratio em queda — sem acumulação,10_49m_range,1.5,0,0.9,2,0,0,0,20260603,0,0,False,False,NOT_APPLICABLE,False,
synapse-2,syn,Synapse,https://coin-images.coingecko.com/coins/images/18024/large/synapse_social_icon.png?1696517540,0.158452,34897094,585,39824767,59133926,0.182251,0.12171,0.02010648,14.53352,4243192.0,13.84226,219066529.0,250000000.0,250000000.0,4.92,-96.75895,2021-10-24T00:24:41.805Z,0.02738298,481.78861,2026-06-11T02:30:31.818Z,,2026-06-20T12:22:42.609Z,208.50765673557655,402.21504032897616,breakout,0.9678,False,False,False,low,12.64461,,False,False,1.6945229307632321,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,1.5,0,0.9,3,0,0,0,20260619,0,0,False,False,NOT_APPLICABLE,False,
lumia,lumia,Lumia,https://coin-images.coingecko.com/coins/images/50867/large/lumia.jpg?1729321993,0.125153,17475656,888,30143393,16217676,0.133554,0.11073,0.01415408,12.75151,2231654.0,14.63956,138496021.73127738,238888888.0,238888888.0,2.49,-94.95089,2024-12-04T21:01:25.444Z,0.055025,128.88278,2026-02-28T10:11:03.598Z,,2026-06-20T12:23:49.958Z,25.015493030836495,42.345897846870535,strong,0.9497,False,False,False,low,10.8626,,False,False,0.9280152916720265,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,True,Other,0.613,strong,0.1037,True,"Acumulação silenciosa: slope=0.1037, consistência=25%",10_49m_range,1.0,0,0.6,4,0,0,0,20260505,0,0,False,False,NOT_APPLICABLE,False,True
stargate-finance,stg,Stargate Finance,https://coin-images.coingecko.com/coins/images/24413/large/STG_LOGO.png?1696523595,0.203447,28379454,667,28379454,21543228,0.224209,0.203607,-0.01889532823891857,-8.4983,-2613004.3306821138,-8.4311,139396704.27043965,139396704.27043965,1000000000.0,4.14,-95.08071,2022-04-02T00:00:00.000Z,0.104476,95.00322,2025-12-31T19:01:22.813Z,,2026-06-20T12:22:42.424Z,22.902437609240735,-55.50282335651405,strong,0.9509,False,False,False,low,-10.38721,,False,False,0.7591135474276567,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.599,moderate,0.0576,False,Possível acumulação: slope=0.0576,10_49m_range,1.0,0,0.6,5,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False,
kintara,kins,Kintara,https://coin-images.coingecko.com/coins/images/102173474/large/fqh1kyqexcnpjt8420afe6bjhb00.?1779705768,0.01614583,16041497,921,16041497,9781991,0.01999678,0.01557144,-0.003420355396971889,-17.48095,-3469927.686770886,-17.78408,994049273.167703,994049273.167703,1000000000.0,0.02151926,-24.73833,2026-06-18T20:50:23.245Z,0.00026633,5980.98671,2026-05-25T19:49:31.422Z,,2026-06-20T12:23:57.606Z,,73.37082069975709,strong,0.2497,False,False,False,low,-19.36986,,False,False,0.6097929014979089,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,0.5,0,0.3,6,0,0,0,20260619,0,0,False,False,NOT_APPLICABLE,False,
zerebro,zerebro,Zerebro,https://coin-images.coingecko.com/coins/images/51289/large/zerebro_2.png?1730588883,0.04521311,45207086,488,45207086,27131640,0.04850607,0.04073409,-0.000474463900330901,-1.0385,-559987.3367722109,-1.22356,999948587.08871,999948587.08871,1000000000.0,0.784071,-94.23409,2025-01-02T07:41:04.150Z,0.00580864,678.30245,2024-11-03T08:34:49.111Z,,2026-06-20T12:22:06.788Z,116.38891688316404,69.76710837287,strong,0.9423,False,False,False,low,-2.92741,,False,False,0.6001634345553704,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.561,moderate,0.0091,False,Possível acumulação: slope=0.0091,10_49m_range,0.5,0,0.3,7,0,0,0,20260504,0,0,False,False,NOT_APPLICABLE,False,
lorenzo-protocol,bank,Lorenzo Protocol,https://coin-images.coingecko.com/coins/images/55250/large/lorenzo.jpg?1744963693,0.03933251,16726413,902,16726413,9274697,0.04140289,0.03637109,0.00290028,7.96076,1238779.0,7.99851,425250000.0,425250000.0,2100000000.0,0.230688,-82.95149,2025-10-18T05:15:39.862Z,0.02243767,75.28035,2026-06-05T15:50:47.067Z,,2026-06-20T12:23:44.796Z,6.633547776141123,-0.706092102465047,strong,0.8295,False,False,False,low,6.0718499999999995,,False,False,0.5544940807093547,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.211,weak,0.0122,False,Sinal fraco: slope=0.0122,10_49m_range,0.5,0,0.3,8,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False,
bio-protocol,bio,Bio Protocol,https://coin-images.coingecko.com/coins/images/53022/large/bio.jpg?1735011002,0.03192777,68569937,358,106130119,25816140,0.03615229,0.03188893,-0.003239190356585604,-9.21089,-6873738.811128512,-9.11109,2145029070.25,3320000000.0,3320000000.0,0.888995,-96.40801,2025-01-03T13:16:10.915Z,0.01589991,100.83498,2026-03-29T22:55:40.552Z,,2026-06-20T12:02:11.666Z,-8.72857364574149,-0.8461524831953391,early_accumulation,0.9641,False,False,False,low,-10.84165,,False,False,0.37649356451938987,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.07200370316441587,False,Other,0.536,moderate,0.0093,False,Possível acumulação: slope=0.0093,50m_range,0.0,0,0.0,2,0,0,0,20260513,0,0,False,False,NOT_APPLICABLE,False,True
