id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,fdv_warning,drawdown_pct,price_resilience,is_gold,suspected_wash_trading,momentum,rs_24h,rs_7d,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
hamster-kombat,hmstr,Hamster Kombat,https://coin-images.coingecko.com/coins/images/39102/large/hamster-removebg-preview.png?1720514486,0.00023543,15163325,954,23554680,54936600,0.00024058,0.00018779,4.622e-05,24.42826,2983087.0,24.4912,64375000000.0,100000000000.0,100000000000.0,0.00722201,-96.70988,2024-09-27T02:01:16.891Z,0.00012639,88.00062,2026-06-04T11:20:31.983Z,,2026-07-11T11:38:40.476Z,-15.904048139164805,-28.738601336017606,breakout,True,0.9674,False,False,False,low,24.690320000000003,,True,True,3.6229916591512747,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.8433,False,Ratio em queda — sem acumulação,10_49m_range,1.5,0,0.9,1,0,0,0,20260611,0,0,False,False,NOT_APPLICABLE,True
skale,skl,SKALE,https://coin-images.coingecko.com/coins/images/13245/large/SKALE_token_300x300.png?1696513021,0.00482998,29431768,655,30495518,82558923,0.00592773,0.00477314,-0.000877492878437344,-15.37446,-5349668.038127806,-15.38081,6094019337.0,6314274983.883265,7000000000.0,1.22,-99.60307,2021-03-12T05:14:18.439Z,0.00337253,43.14781,2026-07-01T06:45:35.535Z,,2026-07-11T11:37:30.824Z,14.45813538932568,34.062337211103355,breakout,,0.996,False,False,False,low,-15.1124,,False,False,2.8050956028193754,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,L2,0.412,moderate,0.1503,False,Possível acumulação: slope=0.1503,10_49m_range,1.5,0,0.9,2,0,0,0,20260603,0,0,False,False,NOT_APPLICABLE,False
robinhood-wrapped-eth-robinhood-chain,weth,Robinhood Wrapped ETH (Robinhood Chain),https://coin-images.coingecko.com/coins/images/102174283/large/weth-robinhood.jpeg?1782924507,1798.37,27849845,671,28495808,196083519,1813.82,1777.85,18.04,1.01311,7809275.0,38.96733,15490.90568350684,15850.20902898722,,2063.07,-12.85143,2026-07-08T08:21:50.869Z,1640.67,9.58581,2026-07-08T03:25:47.823Z,,2026-07-11T11:37:44.810Z,,,breakout,,0.1283,False,False,True,low,1.27517,,False,True,7.040740047206726,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,1.2,0,0.72,3,0,0,0,20260710,0,0,False,False,NOT_APPLICABLE,False
atletico-madrid,atm,Atletico Madrid Fan Token,https://coin-images.coingecko.com/coins/images/11689/large/ATM.png?1741425591,2.7,23531142,753,26956790,22613024,3.08,2.43,0.260206,10.68416,2260866.0,10.62923,8729208.0,10000000.0,10000000.0,58.46,-95.3584,2021-05-16T13:28:09.717Z,0.752321,260.68272,2026-02-06T00:21:31.888Z,,2026-07-11T11:38:52.652Z,179.20999235269787,15.184109311167049,strong,,0.9538,False,False,False,low,10.94622,,True,True,0.9609828541258219,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.1894,False,Ratio em queda — sem acumulação,10_49m_range,1.0,0,0.6,4,0,0,0,20260625,0,0,False,False,NOT_APPLICABLE,True
synapse-2,syn,Synapse,https://coin-images.coingecko.com/coins/images/18024/large/synapse_social_icon.png?1696517540,0.308723,67650657,351,77203324,39568965,0.330802,0.28208,-0.022079107756655614,-6.67443,-3299685.6589955986,-4.6507,219066529.0,250000000.0,250000000.0,4.92,-93.64877,2021-10-24T00:24:41.805Z,0.02738298,1040.08685,2026-06-11T02:30:31.818Z,,2026-07-11T11:37:32.322Z,1005.9214291986539,-26.70689335549819,strong,,0.9373,False,False,False,low,-6.41237,,False,False,0.5849014149263916,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.04914579559033222,False,Other,0.0,none,-0.1244,False,Ratio em queda — sem acumulação,50m_range,0.5,0,0.3,1,0,0,0,20260619,0,0,False,False,NOT_APPLICABLE,False
iexec-rlc,rlc,iExec RLC,https://coin-images.coingecko.com/coins/images/646/large/pL1VuXm.png?1696501840,0.305076,22082175,782,26541543,14476220,0.325628,0.291721,0.01100322,3.74167,831104.0,3.91088,72382548.06525737,86999784.9868455,86999784.9868455,15.51,-98.04388,2021-05-10T17:59:51.557Z,0.153815,97.25496,2018-12-15T00:00:00.000Z,,2026-07-11T11:38:44.977Z,-10.835585784719015,1.3339956910377788,strong,,0.9803,False,False,False,low,4.00373,,True,True,0.655561329443318,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,DeFi,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),10_49m_range,0.5,0,0.3,5,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,True
secret,scrt,Secret,https://coin-images.coingecko.com/coins/images/11871/large/scrt_200.png?1733344413,0.04458766,15628923,942,16068963,7975355,0.04517779,0.03915812,0.00501439,12.67117,1759239.0,12.68406,350534280.381704,360403745.763736,,10.38,-99.56482,2021-10-28T12:44:49.785Z,0.03695688,22.28395,2026-07-09T11:10:41.916Z,,2026-07-11T11:38:52.339Z,-24.401107818229274,-5.809649855420131,strong,,0.9957,False,False,False,low,12.93323,,True,True,0.5102945993143609,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Privacy,0.534,moderate,0.0116,False,Possível acumulação: slope=0.0116,10_49m_range,0.5,0,0.3,6,0,0,0,20260604,0,0,False,False,NOT_APPLICABLE,True
stargate-finance,stg,Stargate Finance,https://coin-images.coingecko.com/coins/images/24413/large/STG_LOGO.png?1696523595,0.162657,22920453,767,22920453,11480699,0.168899,0.162027,-0.002244901715457326,-1.36136,-310404.7870132327,-1.33617,140912573.08760193,140912573.08760193,1000000000.0,4.14,-96.07715,2022-04-02T00:00:00.000Z,0.104476,55.5037,2025-12-31T19:01:22.813Z,,2026-07-11T11:38:53.155Z,-65.73765585707136,4.042591580414209,strong,,0.9607,False,False,False,low,-1.0993,,False,False,0.500893197878768,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0452,False,Ratio em queda — sem acumulação,10_49m_range,0.5,0,0.3,7,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
spacex-bstocks-tokenized-stock,spcxb,SpaceX (bStocks Tokenized Stock),https://coin-images.coingecko.com/coins/images/102173888/large/bstocks_spacex.png?1781280362,146.21,94846787,279,94846787,27480712,151.32,145.47,-4.030961571449353,-2.68299,281341.0,0.29751,648918.57304657,648918.57304657,,226.95,-35.56013,2026-06-16T01:01:03.420Z,145.47,0.53779,2026-07-10T20:10:40.864Z,,2026-07-11T11:37:30.555Z,,-8.437822316593556,early_accumulation,,0.3558,False,False,False,low,-2.4209300000000002,,False,False,0.28973793282001215,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0553,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,2,0,0,0,20260619,0,0,False,False,NOT_APPLICABLE,False
plume,plume,Plume,https://coin-images.coingecko.com/coins/images/53623/large/plume-token.png?1736896935,0.01050051,62686310,373,105005820,13853578,0.01081741,0.0101593,0.00032624,3.20649,1937015.0,3.18854,5969793823.0,10000000000.0,10000000000.0,0.247537,-95.75804,2025-03-19T22:25:55.148Z,0.00854877,22.82944,2026-02-28T10:16:31.882Z,,2026-07-11T11:37:20.480Z,3.0184207830618237,0.08355861752545951,early_accumulation,True,0.9576,False,False,False,low,3.46855,,True,True,0.22099846042939839,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.037781151966892135,False,Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range,0.0,0,0.0,3,0,0,0,20260523,0,0,False,False,NOT_APPLICABLE,True
