id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
bonfida,fida,Bonfida,https://coin-images.coingecko.com/coins/images/13395/large/bonfida.png?1696513157,0.0429655,43298845,546,43298845,225381740,0.04776358,0.03281113,0.00947166,28.27882,10425898.0,31.71574,990910777.137967,990910777.137967,1000000000.0,18.77,-99.76694,2021-11-03T20:34:33.492Z,0.01221703,258.1453,2026-03-29T22:50:36.078Z,,2026-05-22T10:15:08.382Z,157.29272547686583,143.56987154552198,breakout,False,low,False,-0.42798,,28.7068,,True,True,True,5.20525986316725,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.775,strong,0.5449,True,"Acumulação silenciosa: slope=0.5449, consistência=50%",10_49m_range,1.9,0,1.14,1,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,True
metadium,meta,Metadium,https://coin-images.coingecko.com/coins/images/5247/large/metadium_symbol_black.png?1729148922,0.01043334,18108189,952,20866672,23522871,0.01234312,0.00914985,0.00118124,12.76732,1959875.0,12.13672,1735608720.0,2000000000.0,2000000000.0,0.452667,-97.70047,2021-04-01T01:24:04.623Z,0.00295026,252.82399,2020-03-13T02:24:18.338Z,"{'times': -0.9583275693939305, 'currency': 'eth', 'percentage': -95.83275693939305}",2026-05-22T10:15:04.324Z,8.786503579034166,7.78102823756386,breakout,False,low,False,-0.42798,,13.1953,,True,True,True,1.299018416474447,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.1473,False,Ratio em queda — sem acumulação,10_49m_range,1.9,0,1.14,2,0,0,0,20260516,0,0,False,False,NOT_APPLICABLE,True
ondo-u-s-dollar-token,usdon,Ondo U.S. Dollar Token,https://coin-images.coingecko.com/coins/images/68688/large/usdon_160x160.png?1756268513,1.0,44503171,539,44503171,66293167,1.0,1.0,0.0,0.0,-12545405.06988307,-21.99074,44503170.81832055,44503170.81832055,,1.0,0.0,2025-08-27T08:45:01.644Z,1.0,0.0,2025-08-27T08:45:01.644Z,,2026-05-22T10:15:05.906Z,0.0,0.0,breakout,False,low,False,-0.42798,,0.42798,,True,False,False,1.4896279413437752,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0252,False,Ratio em queda — sem acumulação,10_49m_range,1.5,0,0.9,3,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
dodo,dodo,DODO,https://coin-images.coingecko.com/coins/images/12651/large/dodo_logo.png?1696512458,0.01852894,18463571,943,18463571,22749258,0.02500264,0.01844522,-0.002902383907903872,-13.54272,-2812503.4231888205,-13.21909,1000000000.0,1000000000.0,1000000000.0,8.38,-99.77699,2021-02-20T09:19:28.624Z,0.0129848,43.87535,2026-02-06T00:30:52.016Z,,2026-05-22T10:15:24.032Z,8.727572464800412,-3.4633511597778,breakout,False,low,False,-0.42798,,-13.11474,,True,False,False,1.2321158241815735,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.2733,False,Ratio em queda — sem acumulação,10_49m_range,1.5,0,0.9,4,0,0,0,20260514,0,0,False,False,NOT_APPLICABLE,False
test-3,tst,Test,https://coin-images.coingecko.com/coins/images/54274/large/Test.png?1738997629,0.0180998,17124756,979,17124756,39669674,0.02091482,0.01803954,6.026e-05,0.33402,-93689.06022364646,-0.54412,942230397.1986927,942230397.1986927,1000000000.0,0.511293,-96.44804,2025-02-09T09:09:52.387Z,0.00783528,131.78381,2026-03-29T22:56:25.457Z,,2026-05-22T10:15:11.886Z,62.929401657913864,-7.089998026785543,breakout,True,low,False,-0.42798,,0.762,,True,False,True,2.3165103199134633,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0282,False,Ratio em queda — sem acumulação,10_49m_range,1.2,0,0.72,5,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
paris-saint-germain-fan-token,psg,Paris Saint-Germain Fan Token,https://coin-images.coingecko.com/coins/images/11620/large/PSG.png?1741772294,1.048,16301610,999,20871751,10902743,1.068,0.976019,0.063952,6.50002,1023644.0,6.70014,15534826.0,19890000.0,19890000.0,58.79,-98.21298,2021-04-27T04:13:36.909Z,0.600374,74.98479,2026-02-06T00:30:21.119Z,,2026-05-22T10:15:23.755Z,23.837146943585505,-0.8896752472824734,strong,False,low,False,-0.42798,,6.928,,True,True,True,0.6688138778930425,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.1783,False,Ratio em queda — sem acumulação,10_49m_range,0.9,0,0.54,6,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,True
dogs-2,dogs,Dogs,https://coin-images.coingecko.com/coins/images/39699/large/dogs_logo_200x200.png?1723687163,5.503e-05,28437238,737,30267016,15570388,5.943e-05,5.493e-05,-1.097154623242e-06,-1.95473,-446200.7489067726,-1.54483,516750000000.0,550000000000.0,550000000000.0,0.00163299,-96.62403,2024-08-28T10:10:46.492Z,2.375e-05,132.11949,2026-02-28T12:15:13.471Z,,2026-05-22T10:15:04.449Z,64.7414917918018,-6.358683459366931,strong,False,low,False,-0.42798,,-1.52675,,True,False,False,0.547535172016354,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,-0.1159,False,Ratio em queda — sem acumulação,10_49m_range,0.5,0,0.3,7,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
aixbt,aixbt,aixbt,https://coin-images.coingecko.com/coins/images/51784/large/3.png?1731981138,0.03228991,32117431,676,32289910,14519044,0.03278266,0.03035903,0.0014633,4.74686,1416538.0,4.614,994658423.1010208,1000000000.0,1000000000.0,0.942578,-96.55023,2025-01-16T11:56:02.862Z,0.01797721,80.87785,2026-02-23T01:30:43.221Z,,2026-05-22T10:15:04.484Z,14.793040558427077,0.5535761368235765,early_accumulation,False,low,False,-0.42798,,5.17484,,True,True,True,0.45206118758377656,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",AI,0.0,none,-0.013,False,Ratio em queda — sem acumulação,10_49m_range,0.4,0,0.24,8,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,True
chaingpt,cgpt,ChainGPT,https://coin-images.coingecko.com/coins/images/29306/large/200x200.png?1696528257,0.0273059,25359673,793,27324834,9297847,0.02786749,0.02524289,0.00145562,5.63098,1432513.0,5.98697,926008581.0,997766421.0,1000000000.0,0.555799,-94.99514,2024-03-12T12:05:22.099Z,0.01776651,56.56964,2026-03-29T22:52:01.786Z,,2026-05-22T10:15:10.121Z,26.927812058553354,-29.31426988310692,early_accumulation,False,low,False,-0.42798,,6.05896,,True,True,True,0.3666390729880468,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.423,moderate,0.0132,False,Possível acumulação: slope=0.0132,10_49m_range,0.4,0,0.24,9,0,0,0,20260511,0,0,False,False,NOT_APPLICABLE,True
prometeus,prom,Prom,https://coin-images.coingecko.com/coins/images/8825/large/Ticker.png?1696508978,1.13,20674797,896,21807663,5401272,1.18,1.065,0.057554,5.35321,1136215.0,5.81524,18250000.0,19250000.0,19250000.0,105.94,-98.93637,2021-04-30T01:09:49.503Z,0.088747,1169.65145,2019-11-08T13:37:42.508Z,"{'times': 0.132685775140379, 'currency': 'usd', 'percentage': 13.2685775140379}",2026-05-22T10:15:06.543Z,-51.7466143938583,-34.08707851776512,early_accumulation,False,low,False,-0.42798,,5.78119,,True,True,True,0.26124909473113567,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.033,False,Ratio em queda — sem acumulação,10_49m_range,0.4,0,0.24,10,0,0,0,20260518,0,0,False,False,NOT_APPLICABLE,True
