id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,drawdown_pct,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
paris-saint-germain-fan-token,psg,Paris Saint-Germain Fan Token,https://coin-images.coingecko.com/coins/images/11620/large/PSG.png?1741772294,1.12,18057129,928,22355866,25042125,1.18,1.045,0.07159,6.79861,1149403.0,6.79809,16065415.9143673,19890000.0,19890000.0,58.79,-98.08705,2021-04-27T04:13:36.909Z,0.600374,87.31641,2026-02-06T00:30:21.119Z,,2026-05-29T00:20:24.056Z,43.519081151103165,8.801670008295568,breakout,0.9809,False,low,False,-0.94389,,7.7425,,True,True,True,1.3868276069800465,10_49m_range,False,False,"{'short_term': {'has_spike': True, 'momentum_initial': 'low', 'volume_mc_ratio': 1.096849947590357, 'is_candidate': True}, 'medium_term': {'persistence_days': 4, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': True, 'sustainable_growth': True, 'consistency_score': 64.28571428571429, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_INITIAL'}",CANDIDATE_INITIAL,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.5694576039668743, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""psg"", ""daily_videos"": [18, 11, 17, 20, 11, 15, 12], ""today_videos"": 18, ""avg_7d_videos"": 14.333333333333334, ""avg_views_per_video"": 12586, ""avg_likes_per_video"": 332, ""avg_comments_per_video"": 62, ""total_engagement"": 394, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Paris Saint-Germain Fan Token"", ""mentions_today"": 17, ""mentions_7d_avg"": 25.428571428571427, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,True,Other,0.0,none,-0.0815,False,Ratio em queda — sem acumulação,10_49m_range,1.9,-1,0.74,1,0,0,0,20260510,0,4,False,False,NOT_APPLICABLE,True
stepn,gmt,GMT,https://coin-images.coingecko.com/coins/images/23597/large/token-gmt-200x200.png?1703153841,0.01007321,31341680,665,51109784,16750504,0.01074558,0.00997759,-0.000350870483152646,-3.36596,-1106542.0513469093,-3.41018,3111400155.0,5073850155.102167,6000000000.0,4.11,-99.75513,2022-04-28T03:29:53.820Z,0.00938775,7.1346,2026-03-29T22:55:08.566Z,,2026-05-29T00:20:25.320Z,-12.600289132826594,-4.487884238681695,strong,0.9975,False,low,False,-0.94389,,-2.4220699999999997,,True,False,False,0.534448185291918,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.4680310180823435, 'is_candidate': False}, 'medium_term': {'persistence_days': 3, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 21.428571428571427, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.8740710882706899, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_MODERATE"", ""youtube_data"": {""symbol"": ""gmt"", ""daily_videos"": [29, 8, 15, 7, 7, 15, 18], ""today_videos"": 29, ""avg_7d_videos"": 11.666666666666666, ""avg_views_per_video"": 11607, ""avg_likes_per_video"": 344, ""avg_comments_per_video"": 31, ""total_engagement"": 375, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""GMT"", ""mentions_today"": 38, ""mentions_7d_avg"": 23.714285714285715, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.323,weak,0.0518,False,Sinal fraco: slope=0.0518,10_49m_range,0.5,1,0.7,2,0,0,0,20260506,0,3,False,False,NOT_APPLICABLE,False
bonfida,fida,Bonfida,https://coin-images.coingecko.com/coins/images/13395/large/bonfida.png?1696513157,0.02899472,28611207,707,28611207,14464644,0.03178129,0.02751891,-0.002484696270623091,-7.89308,-2529916.207745284,-8.12404,990910768.0093,990910768.0093,1000000000.0,18.77,-99.84741,2021-11-03T20:34:33.492Z,0.01221703,134.49442,2026-03-29T22:50:36.078Z,,2026-05-29T00:20:24.578Z,71.62196865729922,-29.50286288975542,strong,0.9985,False,low,False,-0.94389,,-6.949190000000001,,True,False,False,0.5055586784577106,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.5136168891479054, 'is_candidate': False}, 'medium_term': {'persistence_days': 7, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': True}, 'long_term': {'trend_clear': True, 'sustainable_growth': True, 'consistency_score': 71.42857142857143, 'is_confirmed_leader': True}, 'classification': 'LEADER_CONFIRMED'}",LEADER_CONFIRMED,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.9651886373257168, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_MODERATE"", ""youtube_data"": {""symbol"": ""fida"", ""daily_videos"": [50, 20, 9, 20, 19, 18, 15], ""today_videos"": 50, ""avg_7d_videos"": 16.833333333333332, ""avg_views_per_video"": 18377, ""avg_likes_per_video"": 381, ""avg_comments_per_video"": 58, ""total_engagement"": 439, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Bonfida"", ""mentions_today"": 154, ""mentions_7d_avg"": 53.142857142857146, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.096,none,0.0159,False,"Spike detectado — possível pump, não acumulação gradual",10_49m_range,0.5,1,0.7,3,0,0,0,20260506,0,7,True,False,NOT_APPLICABLE,False
pha,pha,PHALA,https://coin-images.coingecko.com/coins/images/12451/large/phala.png?1696512270,0.04066033,34127315,618,40665660,26526446,0.04576989,0.03983816,-0.004984049719246639,-10.91931,-4122221.4351402894,-10.77718,839217059.0157081,1000000000.0,1000000000.0,1.39,-97.11416,2021-05-15T04:20:32.741Z,0.02120268,89.27849,2026-03-01T20:41:27.308Z,,2026-05-29T00:20:24.359Z,28.327795953230208,16.994995743895707,strong,0.9707,False,low,False,-0.94389,,-9.97542,,True,False,False,0.7772790212180478,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.9404650182172688, 'is_candidate': True}, 'medium_term': {'persistence_days': 5, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': True}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 42.857142857142854, 'is_confirmed_leader': False}, 'classification': 'LEADER_EMERGING'}",LEADER_EMERGING,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.8435174175937178, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_LOW"", ""youtube_data"": {""symbol"": ""pha"", ""daily_videos"": [37, 17, 14, 8, 18, 20, 18], ""today_videos"": 37, ""avg_7d_videos"": 15.833333333333334, ""avg_views_per_video"": 20216, ""avg_likes_per_video"": 408, ""avg_comments_per_video"": 23, ""total_engagement"": 431, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""PHALA"", ""mentions_today"": 145, ""mentions_7d_avg"": 36.285714285714285, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.384,weak,0.093,False,Sinal fraco: slope=0.0930,10_49m_range,1.0,0,0.6,4,0,0,0,20260510,0,5,False,False,NOT_APPLICABLE,False
amd-ondo-tokenized-stock,amdon,AMD (Ondo Tokenized Stock),https://coin-images.coingecko.com/coins/images/68589/large/amdon_160x160.png?1756129814,518.71,15078298,994,15078298,7484166,524.42,477.15,27.75,5.65195,1275177.0,9.23832,29000.7982139427,29000.7982139427,,571.96,-8.91872,2025-11-02T23:00:48.960Z,149.82,247.72335,2025-09-08T14:15:29.508Z,,2026-05-29T00:20:28.631Z,59.468141542343,14.951526983005284,early_accumulation,0.0931,False,low,False,-0.94389,,6.59584,,True,True,True,0.4963535009057388,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),10_49m_range,0.4,0,0.24,5,0,0,0,20260528,0,0,False,False,NOT_APPLICABLE,True
degen-base,degen,Degen,https://coin-images.coingecko.com/coins/images/34515/large/android-chrome-512x512.png?1706198225,0.00091948,34157916,616,34157916,12804290,0.00117835,0.0007771,0.00013449,17.13238,5146182.0,17.73828,36965730333.0,36965730333.0,,0.064543,-98.54488,2024-03-31T20:22:27.147Z,2.255e-05,4064.61089,2024-01-15T05:47:46.931Z,,2026-05-29T00:20:26.336Z,35.88971207599283,-2.1842787379136945,early_accumulation,0.9858,False,low,False,-0.94389,,18.07627,,True,True,True,0.37485571426547215,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0552,False,Ratio em queda — sem acumulação,10_49m_range,0.4,0,0.24,6,0,0,0,20260514,0,0,False,False,NOT_APPLICABLE,True
marvell-technology-ondo-tokenized-stock,mrvlon,Marvell Technology (Ondo Tokenized Stock),https://coin-images.coingecko.com/coins/images/68560/large/mrvlon_160x160.png?1756105919,202.82,24941830,764,24941830,8309207,209.12,188.25,7.76,3.97846,-1382354.3158399723,-5.25127,123392.910672186,123392.910672186,,221.64,-8.33669,2026-05-27T11:15:52.761Z,62.45,225.33865,2025-09-02T16:00:14.755Z,,2026-05-29T00:20:28.554Z,30.560879381553608,5.068269582761872,early_accumulation,0.0849,False,low,False,-0.94389,,4.92235,,True,True,True,0.33314343815189185,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,0.4,0,0.24,7,0,0,0,20260527,0,0,False,False,NOT_APPLICABLE,True
sandisk-ondo-tokenized,sndkon,SanDisk (Ondo Tokenized),https://coin-images.coingecko.com/coins/images/102172440/large/sndkon_160x160.png?1773419692,1659.75,18987736,903,18987736,5148301,1687.55,1513.3,114.95,7.44121,2428324.0,14.66431,11440.11163928828,11440.11163928828,,1687.55,-2.45905,2026-05-28T14:40:21.191Z,554.14,197.04788,2026-03-30T23:54:37.586Z,,2026-05-29T00:20:23.712Z,59.117806580061405,8.325762759721982,early_accumulation,0.0165,False,low,False,-0.94389,,8.3851,,True,True,True,0.27113822311411956,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.2267354765024757, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0132,False,Ratio em queda — sem acumulação,10_49m_range,0.4,0,0.24,8,0,0,0,20260507,0,0,False,False,NOT_APPLICABLE,True
paxos-standard,usdp,Pax Dollar,https://coin-images.coingecko.com/coins/images/6013/large/Pax_Dollar.png?1696506427,0.999563,31940717,655,31940717,23049522,0.999865,0.999043,0.00023342,0.02336,8102.37,0.02537,31954027.03052443,31954027.03052443,,1.18,-15.62091,2024-04-16T16:20:21.365Z,0.863529,15.75331,2021-05-19T13:14:42.046Z,"{'times': -0.0004366828429749, 'currency': 'usd', 'percentage': -0.04366828429749}",2026-05-29T00:20:27.922Z,-0.01245107997494784,0.03837351517590517,strong,0.1529,False,low,False,-0.94389,,0.96725,,True,False,True,0.7216344579866507,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.6790959379956151, 'is_candidate': False}, 'medium_term': {'persistence_days': 3, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': True}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 21.428571428571427, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_STRONG'}",CANDIDATE_STRONG,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.3843754672359053, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""usdp"", ""daily_videos"": [10, 18, 12, 8, 10, 16, 18], ""today_videos"": 10, ""avg_7d_videos"": 13.666666666666666, ""avg_views_per_video"": 14280, ""avg_likes_per_video"": 291, ""avg_comments_per_video"": 64, ""total_engagement"": 355, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Pax Dollar"", ""mentions_today"": 61, ""mentions_7d_avg"": 40.714285714285715, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.706,strong,0.035,True,"Acumulação silenciosa: slope=0.0350, consistência=58%",10_49m_range,1.0,-1,0.2,9,0,0,0,20260502,0,3,False,False,NOT_APPLICABLE,False
aixbt,aixbt,aixbt,https://coin-images.coingecko.com/coins/images/51784/large/3.png?1731981138,0.02730572,27168390,729,27314291,12555973,0.02843781,0.02628421,-0.001132086889912908,-3.98092,-1083526.1621185616,-3.83523,994658423.1010208,1000000000.0,1000000000.0,0.942578,-97.10786,2025-01-16T11:56:02.862Z,0.01797721,51.64039,2026-02-23T01:30:43.221Z,,2026-05-29T00:20:27.904Z,-1.8407192009264088,-13.917577397815467,early_accumulation,0.971,False,low,False,-0.94389,,-3.0370299999999997,,True,False,False,0.46215373822298633,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.5346691447951327, 'is_candidate': False}, 'medium_term': {'persistence_days': 4, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': True}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 35.714285714285715, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_STRONG'}",CANDIDATE_STRONG,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,AI,0.0,none,-0.0007,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,10,0,0,0,20260502,0,4,False,False,NOT_APPLICABLE,False
