id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,drawdown_pct,price_resilience,is_gold,suspected_wash_trading,momentum,rs_24h,rs_7d,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong,fdv_warning
heima,hei,Heima,https://coin-images.coingecko.com/coins/images/54379/large/heima.png?1739444240,0.158537,15487271,932,15842272,34006598,0.164288,0.130513,0.02681444,20.35681,2610779.0,20.27554,97759152.0,100000000.0,100000000.0,1.25,-87.19734,2025-02-13T13:11:17.827Z,0.04755675,235.6454,2025-10-10T21:26:58.067Z,,2026-06-30T10:12:36.544Z,55.04556554334229,78.88316558091276,breakout,0.8732,False,False,False,low,21.83951,,True,True,2.1957772934947672,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,1.5,0,0.9,1,0,0,0,20260626,0,0,False,False,NOT_APPLICABLE,True,
adventure-gold,agld,Adventure Gold,https://coin-images.coingecko.com/coins/images/18125/large/lpgblc4h_400x400.jpg?1696517628,0.190543,16557087,881,17579714,23256552,0.212227,0.170929,0.01401164,7.9372,1111435.0,7.19578,87430001.0,92830001.0,96000000.0,7.7,-97.46903,2021-09-03T11:41:40.240Z,0.117529,65.86812,2026-06-25T13:56:03.279Z,,2026-06-30T10:12:43.497Z,-13.346770974113467,29.905788428115777,breakout,0.9753,False,False,False,low,9.4199,,True,True,1.404628241670772,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.341,weak,0.164,False,Sinal fraco: slope=0.1640,10_49m_range,1.5,0,0.9,2,0,0,0,20260511,0,0,False,False,NOT_APPLICABLE,True,
g-token,g,Gravity (by Galxe),https://coin-images.coingecko.com/coins/images/39200/large/gravity.jpg?1721020647,0.00338228,24463002,712,40587336,32556838,0.00407122,0.00335774,-0.000453679943487586,-11.82703,-3282034.9589506574,-11.82927,7232700000.0,12000000000.0,12000000000.0,0.091691,-96.27978,2024-07-18T08:44:41.666Z,0.00255749,33.37787,2026-06-23T06:35:30.638Z,,2026-06-30T10:12:26.482Z,-3.1072222957967575,22.99706875171241,breakout,0.9631,False,False,False,low,-10.344330000000001,,False,False,1.3308602926165807,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.405,moderate,0.1279,False,Possível acumulação: slope=0.1279,10_49m_range,1.5,0,0.9,3,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False,True
celo,celo,Celo,https://coin-images.coingecko.com/coins/images/11090/large/InjXBNx9_400x400.jpg?1696511031,0.058724,35364420,559,58724294,39071820,0.065484,0.058521,-0.005636526975945064,-8.75769,-3392622.6672561243,-8.75356,602211072.0,1000000000.0,1000000000.0,9.82,-99.39771,2021-08-30T14:25:09.929Z,0.056378,4.9224,2026-06-06T05:06:02.169Z,,2026-06-30T10:12:42.276Z,-23.211502668871073,-3.7181643696681843,breakout,0.994,False,False,False,low,-7.274990000000001,,False,False,1.104834180795274,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,L1,0.85,very_strong,0.1777,True,"Acumulação silenciosa FORTE: slope=0.1777, consistência=80%, aceleração=348%",10_49m_range,1.5,0,0.9,4,0,0,0,20260523,0,0,False,False,NOT_APPLICABLE,False,True
stargate-finance,stg,Stargate Finance,https://coin-images.coingecko.com/coins/images/24413/large/STG_LOGO.png?1696523595,0.168976,23808924,723,23808924,20775540,0.177249,0.161388,-0.008272611906512406,-4.66723,-1165680.771510452,-4.66746,140901154.03124163,140901154.03124163,1000000000.0,4.14,-95.91302,2022-04-02T00:00:00.000Z,0.104476,62.01002,2025-12-31T19:01:22.813Z,,2026-06-30T10:12:27.936Z,-26.405128968719303,-8.090050889814075,strong,0.9592,False,False,False,low,-3.18453,,False,False,0.8725946624047353,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0221,False,Ratio em queda — sem acumulação,10_49m_range,1.0,0,0.6,5,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False,
aevo-exchange,aevo,Aevo,https://coin-images.coingecko.com/coins/images/35893/large/aevo.png?1710138340,0.01824532,16733716,886,18245316,10006932,0.01974002,0.01823054,-0.001459960224352141,-7.40898,-1348153.8028177004,-7.45583,917151382.5868613,1000000000.0,1000000000.0,3.76,-99.5145,2024-03-28T00:05:46.673Z,0.01668041,9.33241,2026-06-26T02:21:11.978Z,,2026-06-30T10:12:26.444Z,-26.221216687872534,0.64123445606427,strong,0.9951,False,False,False,low,-5.92628,,False,False,0.5980101490906145,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.283,weak,0.0164,False,Sinal fraco: slope=0.0164,10_49m_range,0.5,0,0.3,6,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False,
pha,pha,PHALA,https://coin-images.coingecko.com/coins/images/12451/large/phala.png?1696512270,0.0275785,23181300,739,27580491,13024031,0.03051326,0.02743132,-0.002422772854797112,-8.07557,-2023032.4976889715,-8.02653,840496260.4928192,1000000000.0,1000000000.0,1.39,-98.01895,2021-05-15T04:20:32.741Z,0.02120268,29.93426,2026-03-01T20:41:27.308Z,,2026-06-30T10:12:42.619Z,-32.58658202334356,-23.81792767481784,strong,0.9802,False,False,False,low,-6.592870000000001,,False,False,0.5618335037292991,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.015,False,Ratio em queda — sem acumulação,10_49m_range,0.5,0,0.3,7,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False,
atletico-madrid,atm,Atletico Madrid Fan Token,https://coin-images.coingecko.com/coins/images/11689/large/ATM.png?1741425591,2.31,19960443,807,23131257,10250580,2.37,2.16,0.13448,6.17055,1154124.0,6.13689,8629208.0,10000000.0,10000000.0,58.46,-96.00979,2021-05-16T13:28:09.717Z,0.752321,210.06514,2026-02-06T00:21:31.888Z,,2026-06-30T10:12:42.465Z,130.54487816040938,68.76942301913567,strong,0.9605,False,False,False,low,7.65325,,True,True,0.5135447144134025,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.458,False,Ratio em queda — sem acumulação,10_49m_range,0.5,0,0.3,8,0,0,0,20260625,0,0,False,False,NOT_APPLICABLE,True,
sandisk-bstocks-tokenized-stock,sndkb,SanDisk (bStocks Tokenized Stock),https://coin-images.coingecko.com/coins/images/102173744/large/sandisk-tokenized-bStocks-sndkb.png?1781196896,2085.79,15557219,929,15557219,7089624,2120.14,1903.46,-26.32244143033813,-1.24626,1613618.0,11.57246,7458.64065821,7458.64065821,,2357.29,-11.31491,2026-06-22T15:24:53.479Z,1864.53,12.12272,2026-06-24T19:10:42.289Z,,2026-06-30T10:12:41.618Z,,0.4592505185935609,early_accumulation,0.1152,False,False,False,low,0.23643999999999998,,False,False,0.455712810882202,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),10_49m_range,0.0,0,0.0,9,0,0,0,20260630,0,0,False,False,NOT_APPLICABLE,False,
milk-alliance,mlk,MiL.k,https://coin-images.coingecko.com/coins/images/11978/large/2.png?1696511836,0.034748,19364765,819,34212125,8576395,0.03725617,0.03443767,-0.000188371096102952,-0.53918,-137945.04446227476,-0.70731,558235159.0,986245419.0,1300000000.0,3.59,-99.03281,2021-04-05T15:10:26.250Z,0.03180854,9.15491,2026-06-25T16:46:05.047Z,,2026-06-30T10:12:42.049Z,-25.877306991569572,-1.9609563115241986,early_accumulation,0.9903,False,False,False,low,0.9435199999999999,,False,False,0.4428866035812983,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.337,weak,0.0414,False,Sinal fraco: slope=0.0414,10_49m_range,0.0,0,0.0,10,0,0,0,20260529,0,0,False,False,NOT_APPLICABLE,False,True
